35002598;Escola Astolfo Araujo Deputado;3526000;AV ITAQUERA;JD MARINGA
35037035;Escola Astrogildo Arruda Prof;8040130;R DOMINGOS DO SACRAMENTO;V CAROLINA
35004364;Escola Astrogildo Silva Prof;4243000;AV PATENTE;JD PATENTE
35004339;Escola Ataliba De Oliveira Prof;4255080;R SAO SILVESTRE;S J CLIMACO
35003037;Escola Ataulpho Alves;8021300;R MARIA SUSANO POLILO;VL ROSARIA
35036559;Escola Augusto Baillot Prof;3563220;R SUSANA DACRE;JD S JOSE
35000632;Escola Augusto De Macedo Costa Dr;2805140;R CONCEICAO DE JACAREI;VL CRUZ DAS ALMAS
35038131;Escola Augusto Do Amaral Deputado;5338100;R EULO MARONI;VL LAGEADO
35000462;Escola Augusto Meirelles Reis Filho Prof;2537000;R PADRE JOAO GUALBERTO;IMIRIM
35000450;Escola Augusto Ribeiro De Carvalho Prof;2927000;R PROFESSOR JOAO MACHADO;NOSSA SENHORA DO O
35055086;Escola Aurea Ribeiro Xavier Lopes Profa (EMEF);3240040;RUA CARMINHA;PARQUE SAO LUCAS
35092964;Escola Aureliano Leite (EMEF);8470790;RUA JOSE FRANCISCO BRANDAO;CIDADE TIRADENTES
35055438;Escola Aurelio Arrobas Martins Prof (EMEF);8270001;AVENIDA AFONSO DE SAMPAIO E SOUSA;ITAQUERA
35909191;Escola Aurelio Buarque De Holanda Ferreira Prof;8441000;RUA JOSE GRAVONSKY;JDIM ROBRU
35044428;Escola Aurelio Campos Deputado;4777040;R OLIMPIO DE OLIVEIRA CHALEGRE;VL PAZ
35130321;Escola Aurora (JI);2995000;RUA FRIEDRICH VON VOITH;JARDIM AURORA
35923515;Escola Aurora Ii (JI);8431191;R ANIBAL THOMAZ GOMES;JD N GUAIANAZES
35000012;Escola Ayres De Moura Prof;5118000;RUA ARTUR ORLANDO;VILA JAGUARA
35055293;Escola Ayres Martins Torres (EMEF);8225000;RUA CATARINA LOPES;ITAQUERA
35039287;Escola Ayres Neto Dr;4474220;R JOSE FLAVIO PEREIRA;PRQ DOROTEIA
35282397;Escola Ayrton Oliveira Sampaio Prof (EMEF);4859100;JULIA MAMEIA;JARDIM SANTA FE ZONA SUL
35924799;Escola Ayrton Senna Da Silva;4896260;RUA IPE ROXO;VARGEM GRANDE
35419461;Escola Badra (EMEF);5212000;PRINCIPAL;JARDIM DA CONQUISTA ZONA OESTE
35003281;Escola Balbina Netto Velloso Profa;8452180;R FRANCISCO FERNANDES FRAZAO;LAGEADO
35002586;Escola Barao De Ramalho;3636000;AV AMADOR BUENO DA VEIGA;P FRANCA
35924817;Escola Barragem Ii;4877170;RUA MANOEL DA COSTA CAPANEMA;JD VERA CRUZ
35926048;Escola Barro Branco Ii;8473533;RUA EDUARDO REUTER;BARRO BRANCO
35004765;Escola Barroso Almirante;4045004;AV JABAQUARA;JABAQUARA
35054598;Escola Bartolomeu Lourenco De Gusmao (EMEF);3432000;RUA PICINGUABA;VILA SANTA ISABEL
35921312;Escola Beatriz (JI);8240730;R CECILIA ITER;VL PROGRESSO
35005009;Escola Beatriz De Quadros Leme Profa;5888160;RUA PROF GASTAO RAMOS;PRQ FERNANDA
35001697;Escola Beatriz R Bassi Astorino Profa;3286000;R JUIZ DE FORA;VL EMA
35284324;Escola Belize;8473370;ESTRADA VOVO DA CAROLINA;GUAIANAZES
35916812;Escola Belkice Manhaes Reis Profa;4897340;RUA JANE VANINE CAPOZI;CID N.AMERICA
35002773;Escola Benedita De Rezende Profa;3827000;AV ASSIS RIBEIRO;JD PIRATININGA
35002227;Escola Benedita Ribas F Silveira Profa;3085030;R JOSE TAVARES DE SIQUEIRA;PRQ S JORGE
35055189;Escola Benedito Calixto (EMEF);8420650;LUIS MEDEIROS DA SILVA;JARDIM SAO PEDRO
35078759;Escola Benedito De Jesus Batista Laurindo Pe Batista (EMEF);3923085;ALFONSO FERRABOSCO;PARQUE DOS BANCARIOS
35002070;Escola Benedito Estevam Dos Santos Dr;3325000;R AGUAPEI;VL S ESTEVAO
35039385;Escola Benedito Ferreira De Albuquerque Prof;4891070;R BENJAMIM DIEMAR;VL ROSCHEL
35098735;Escola Benedito Montenegro Prof (EMEF);8375000;RAGUEB CHOHFI;JARDIM TRES MARIAS
35000309;Escola Benedito Tolosa Prof;2515050;PRACA DIRCEU DE LIMA;C VERDE
35005058;Escola Bento Pereira Da Rocha Prof;4475100;R GEORGE BENDA;JD RUBILENE
35906189;Escola Bernardim Ribeiro;8465000;AV UTARO KANAI;CJ HAB J KUBITSCHEK
35053387;Escola Bernardo O Higgins (EMEF);4635022;RUA PALACETE DAS AGUIAS;VILA ALEXANDRIA
35002458;Escola Bernardo Rodrigues Nogueira Dom;3530050;R DOM JOAO MARIA OGNO;VL MATILDE
35002082;Escola Blanca Zwicker Simoes Profa;3335100;R INSPETOR MARIO TEIXEIRA;VL R FEIJO
35036973;Escola Branca Castro Canto E Melo Profa;3210001;R COSTA BARROS;SIT PINHEIRINHO
35053132;Escola Brasil Japao (EMEF);5382040;RUA DOUTOR PAULO CARVALHO FERREIRA;JARDIM SARAH
35003876;Escola Brasilio Machado;5434020;R MORAS, DOS;VL MADALENA
35054926;Escola Brasilio Machado Neto (EMEF);3982190;RUA ALMIRANTE OTACILIO CUNHA;PARQUE SANTA MADALENA
35916730;Escola Brenno Rossi Maestro;8341250;R JOSE PARDO;PRQ B ESPERANCA
35915701;Escola Breno Di Grado Prof;8141000;R MANOEL ALVARES PIMENTEL;JD MIRIAM
35001797;Escola Brisabella Almeida Nobre Profa;3213050;R SANTA GENOVEVA;VL CALIFORNIA
35000942;Escola Buenos Aires;2037001;R DOUTOR OLAVO EGIDIO;SANTANA
35053478;Escola Cacilda Becker (EMEF);4309011;AVENIDA ENGENHEIRO ARMANDO ARRUDA PEREIRA;JABAQUARA
35037722;Escola Cacilda Becker;2832110;R CAPITAO JOSE AMARAL;VL PORTUGUESA
35038143;Escola Caetano De Campos;1529001;R PIRES DA MOTA;ACLIMACAO
35003852;Escola Caetano De Campos Consolacao;1303030;R JOAO GUIMARAES ROSA;CONSOLACAO
35002719;Escola Caetano Miele Prof;3731000;R FRANCISCO DAMANTE;VL LONDRINA
35907157;Escola Caetano Zamitti Mammana Prof;8081380;RUA CARLO BEBIENA;JD MAIA
35037624;Escola Cafe Filho Presidente;5797000;R GASTAO RAUL DE FORTON BOUSQUET;JD IPE
35200062;Escola Caio Sergio Pompeu De Toledo Dep (EMEF);8485020;AVENIDA NASCER DO SOL;COHAB SANTA ETELVINA II A
35399930;Escola Caira Alayde Alvarenga Medea Profa (EMEF);2808000;XAVIER DA SILVA FERRAO;SITIO MORRO GRANDE
35054800;Escola Cairu Visc De (EMEF);3552010;PRACA ARARUVA;CIDADE PATRIARCA
35902925;Escola Calhim Manoel Abud;4775090;RUA OSCAR FERNANDES;VILA CALIFORNIA
35004649;Escola Calixto De Souza Aranha Prof;4167001;R SIMAO LOPES;VL MORAES
35038271;Escola Callia Maestro;4812240;R JOB VAZ DO AMARAL;JD LALLO
35053417;Escola Calogeras Min (EMEF);4630040;RUA ALSACIA;JARDIM AEROPORTO
35906177;Escola Camilo Castelo Branco;8470600;R EDMUNDO ORIOLI;C TIRADENTES
35901714;Escola Camilo Maria Cavalheiro Dom;3576160;R GARUVA;JD S MARIA
